Label,mean,std_dev,max_value,min_value,median,skewness,kurt,q1,q3,mode_value,iqr,File,ZCR Mean,ZCR Median,ZCR Std Deviasi,ZCR Skewness,ZCR Kurtosis,RMS Mean,RMS Median,RMS Std Deviasi,RMS Skewness,RMS Kurtosis
fear.wav,-4.063842e-05,0.071733154,0.37966532,-0.3677148,0.00026693437,0.12092170789613445,6.175294868427063,-0.018830029293894768,0.018903033807873726,-0.037369184,0.037733063101768494,YAF_doll_fear.wav,0.182586669921875,0.095458984375,0.2087059853994561,1.9883188209840434,2.7366538490300814,0.053420644,0.041771486,0.047514655,1.422447938428003,1.3040666682511253
fear.wav,-9.758963e-05,0.059280295,0.30907393,-0.43155813,0.00016919019,-0.29668512469418523,5.776243215404168,-0.018270076252520084,0.01947655389085412,-0.09113978,0.037746630143374205,YAF_hall_fear.wav,0.2037537457191781,0.099609375,0.22028326308374455,1.7876074675123763,1.8694850650185115,0.047080312,0.03675789,0.035386324,0.834490022792835,-0.027054374891257282
fear.wav,-5.4211363e-05,0.05764013,0.203942,-0.24897176,0.002678073,-0.6315317178304968,1.8939256761994727,-0.022060200572013855,0.028734222054481506,-0.04831503,0.05079442262649536,YAF_mill_fear.wav,0.1301565459280303,0.062255859375,0.17794747657903442,2.5056825445135638,5.292561288390711,0.051088113,0.051270314,0.026385456,-0.001979759121238125,-1.283113980401743
fear.wav,-5.3034524e-05,0.07431305,0.41515058,-0.38310224,0.00054645305,-0.28776184774217095,3.358154226201573,-0.027020344510674477,0.03165328875184059,-0.1934562,0.05867363326251507,YAF_hire_fear.wav,0.19788099315068494,0.130859375,0.18901222149352498,1.949485157189407,2.9202570662817315,0.06246506,0.05841836,0.039529648,0.3631521350645411,-0.6842958033162825
fear.wav,-4.4079006e-05,0.045563802,0.21501024,-0.2627805,0.00020468792,-0.39011848088227064,3.0400420768747214,-0.016215273644775152,0.018392105121165514,-0.040921587,0.034607378765940666,YAF_chain_fear.wav,0.250872802734375,0.188720703125,0.20861530969406983,1.2687137654545702,0.6439167721259582,0.039016746,0.041501395,0.023079459,-0.19567323422320274,-1.257126319489345
fear.wav,-3.628794e-05,0.03765328,0.23693314,-0.2181209,0.00051929476,-0.37029496377659166,3.527923125284943,-0.013142462354153395,0.016179282683879137,-0.008332862,0.029321745038032532,YAF_lean_fear.wav,0.17273099922839505,0.09765625,0.1862252869049129,2.131793259249298,3.679958779982724,0.03176517,0.03325071,0.020116838,0.1831650961478314,-0.8969322892988618
fear.wav,3.7502125e-06,0.06184958,0.38689923,-0.3217922,0.00027897413,0.18938950955640835,4.689903884440096,-0.017115073278546333,0.01814437936991453,-0.029181873,0.035259452648460865,YAF_dog_fear.wav,0.19150390625,0.099609375,0.21060078437371704,2.092145383004903,3.068303496880098,0.048858188,0.04066419,0.037553165,0.7669780867868494,-0.37007618130985076
fear.wav,-5.1115985e-05,0.10181887,0.6451794,-0.7477344,0.0009775573,-0.9149648790436335,7.083108136168198,-0.020624178927391768,0.03383013512939215,-0.069293976,0.054454314056783915,YAF_death_fear.wav,0.17929344846491227,0.10400390625,0.19126206353285247,1.829786803187729,2.4413828103190935,0.080931276,0.07765801,0.061042722,0.5843058887335171,-0.3276152021980643
fear.wav,-3.942026e-05,0.05634901,0.32729712,-0.32465196,0.0002741316,-0.4875011141463712,3.809775850971051,-0.01700288150459528,0.01917639560997486,0.0047417176,0.03617927711457014,YAF_keg_fear.wav,0.199444580078125,0.137451171875,0.19691133230125624,2.0052873059858976,3.1960574902978625,0.046806365,0.043040574,0.031202892,0.3636841356116432,-0.8794757929369892
fear.wav,-5.0469385e-05,0.10608913,0.45887446,-0.60566896,0.0011987078,-0.7091022066647704,2.7805808330125643,-0.029158346354961395,0.04865019768476486,-0.02926853,0.07780854403972626,YAF_door_fear.wav,0.16311743951612903,0.0830078125,0.16758889681428488,1.981790303172964,3.1448036482903667,0.09108951,0.08906846,0.05388823,-0.01750695378785958,-1.152249342994276
